SPUR,KAP INDUSTRIAL,ADVTECH,REUNERT,CLICKS GROUP,CITY LODGE HOTELS,PPC,NAMPAK,MURRAY & ROBERTS,SUPER GROUP,CURRO HOLDINGS,INVICTA,PICK N PAY STORES,TSOGO SUN,SHOPRITE,GRINDROD,WOOLWORTHS HDG,FAMOUS BRANDS,AFRIMAT,MASSMART,MR PRICE GROUP,RAUBEX GROUP,THE FOSCHINI GROUP,BARLOWORLD,BIDVEST GROUP,SUN INTERNATIONAL,WLSN.BAYLY HOLMES-OVCON,MPACT,HUDACO,CASHBUILD,LEWIS GROUP,TRENCOR,ITALTILE,IMPERIAL,SPAR GROUP,TRUWORTHS INTL
810,135,340,3605,1415,6175,2850,1290,4080,530,0.0,1930,3040,1650,4830,1225,1070,1360,160,6270,2230,1700,3858,3020,8505,6900,8550,0.0,4349,5600,3500,1620,225,4400,5167,2894
810,135,335,3550,1459,6150,2801,1290,4175,510,0.0,1935,2956,1650,4831,1219,1121,1360,175,6801,2400,1698,4000,3101,8600,7000,8798,0.0,4300,5950,3680,1700,225,4626,5170,3040
810,140,345,3600,1500,6300,2825,1290,4325,590,0.0,1935,3133,1675,5000,1220,1170,1380,210,7250,2500,1826,4320,3301,9100,7001,8700,0.0,4250,6108,3710,1680,225,4850,5350,3163
810,140,350,3650,1480,6200,2905,1300,4350,590,0.0,1935,3130,1675,5025,1201,1153,1380,204,7360,2530,1800,4151,3400,9199,7006,8554,0.0,4200,6155,3845,1650,225,4730,5550,3100
825,140,365,3760,1480,6200,3000,1289,4380,600,0.0,1950,3140,1680,5000,1295,1160,1385,200,7470,2561,1900,4250,3500,9200,7130,8545,0.0,4200,6150,3950,1650,225,4730,5230,3145
825,140,381,3920,1525,6400,3126,1247,4020,600,0.0,2000,3177,1680,5051,1250,1170,1440,198,7520,2573,1898,4228,3470,9066,7150,8550,0.0,4300,6250,4080,1650,225,5125,5300,3160
825,140,380,3859,1500,6550,3190,1290,4200,620,0.0,2000,3183,1680,5051,1270,1220,1440,198,7599,2563,1830,4400,3377,8975,7160,8500,0.0,4400,6250,4150,1800,225,5150,5360,3160
825,140,380,3800,1500,6550,3148,1289,4162,650,0.0,2000,3183,1625,5061,1270,1199,1450,195,7249,2550,1900,4499,3371,9100,7200,8500,0.0,4535,6638,4200,1750,300,5400,5300,3110
825,131,374,3650,1475,6600,3155,1275,4113,630,0.0,2020,3155,1700,5174,1210,1180,1450,190,7100,2580,1900,4485,3100,8849,7255,8500,0.0,4525,6640,4140,1700,300,5250,5121,3150
825,138,364,3551,1464,6400,3199,1250,3960,630,0.0,2000,3050,1700,5050,1155,1146,1450,190,7200,2500,1767,4300,3100,8445,7205,8425,0.0,4525,6700,4061,1700,300,5060,5100,3150
850,140,371,3658,1500,6450,3139,1260,4050,620,0.0,2000,2951,1699,5059,1210,1140,1450,180,6960,2425,1800,4394,3200,8795,7180,8509,0.0,4400,6800,4269,1700,300,5345,5190,3213
850,140,373,3963,1500,6500,3330,1245,4300,580,0.0,2000,3025,1685,5121,1239,1200,1457,200,7202,2535,1800,4575,3310,8940,7301,8700,0.0,4450,6795,4250,1660,300,5085,5125,3200
850,139,391,4101,1520,6700,3541,1270,4400,570,0.0,2100,3040,1699,5258,1315,1220,1451,200,7574,2625,1850,4750,3500,9200,7392,9025,0.0,4510,6900,4299,1660,300,5350,5277,3300
850,139,385,4130,1470,6820,3450,1280,4360,570,0.0,2100,3000,1655,5150,1285,1217,1450,200,7700,2669,1800,4500,3560,9190,7700,9250,0.0,4701,6900,4250,1750,300,5185,5180,3280
860,139,399,4180,1490,6820,3450,1280,4300,570,0.0,2100,2925,1882,5055,1275,1226,1475,200,7605,2650,1898,4606,3476,9090,7690,9050,0.0,4750,6800,4122,1750,300,5390,5180,3240
860,139,407,4150,1485,6880,3310,1300,4400,560,0.0,2200,2839,1830,5000,1320,1190,1450,200,7550,2650,1899,4635,3470,8991,7200,8995,0.0,4850,6767,4100,1750,300,5050,5100,3270
850,139,407,4100,1495,6696,3190,1300,4300,550,0.0,2195,2970,1791,5232,1260,1150,1450,196,7601,2645,1860,4645,3555,9200,7215,8799,0.0,4950,6720,4250,1800,300,5185,5185,3325
850,139,396,3950,1510,6780,3300,1276,4400,580,0.0,2199,3100,1650,5250,1260,1200,1460,200,7668,2630,1900,4636,3675,9097,7231,9000,0.0,5200,6610,4245,1750,300,5241,5300,3402
811,134,396,3950,1535,6700,3300,1310,4650,610,0.0,2110,3000,1750,5350,1330,1212,1460,195,7365,2651,1989,4690,3780,9430,7200,9200,0.0,5200,6400,4390,1750,285,5350,5400,3510
812,134,401,4101,1569,6670,3300,1350,4500,600,0.0,2110,3000,1699,5400,1306,1180,1500,195,7200,2660,2089,4600,3900,9250,7200,9199,0.0,5100,6455,4200,1750,285,5400,5300,3350
812,140,400,4250,1540,6650,3243,1339,4285,610,0.0,2200,3093,1616,5348,1305,1228,1505,200,7300,2625,2165,4700,3800,9099,7400,9300,0.0,5000,6450,4151,1750,285,5405,5450,3449
812,140,411,4250,1535,6665,3300,1400,4165,590,0.0,2200,3040,1650,5310,1320,1250,1506,200,7224,2635,2235,4700,3700,9000,7500,9100,0.0,5150,6540,4200,1750,290,5552,5490,3460
822,140,414,4100,1545,6600,3150,1320,4005,610,0.0,2200,3000,1650,5300,1265,1200,1506,200,7300,2594,2200,4638,3501,8900,7604,9082,0.0,5150,6599,4115,1750,290,5400,5340,3450
822,140,400,4159,1525,6600,3190,1325,4214,590,0.0,2200,2905,1650,5115,1265,1170,1506,196,7197,2574,2210,4515,3290,8601,7758,9100,0.0,5150,6600,4200,1750,290,5200,5346,3425
820,140,400,4160,1537,6650,3248,1310,4600,590,0.0,2200,3100,1670,5156,1280,1210,1525,200,7313,2710,2181,4670,3424,8786,7850,9300,0.0,5150,6597,4250,1775,290,5260,5482,3530
820,134,400,4150,1540,6580,3150,1300,4700,600,0.0,2100,3170,1670,5131,1325,1225,1515,196,7330,2715,2150,4675,3680,8740,7850,9450,0.0,5100,6600,4205,1800,270,5310,5500,3484
820,134,405,4100,1600,6500,3300,1280,4750,620,0.0,2173,3082,1690,5001,1325,1200,1600,197,7400,2675,2180,4666,3700,9000,7625,9423,0.0,5100,6599,4128,1800,270,5440,5380,3547
820,132,405,4130,1575,6600,3235,1285,4831,620,0.0,2150,3147,1785,5020,1315,1188,1600,200,7200,2700,2200,4690,3580,8930,7795,9826,0.0,4900,6500,4220,1800,270,5460,5400,3515
820,140,400,4200,1645,6700,3275,1260,4775,620,0.0,2150,3060,1750,5107,1395,1200,1615,197,7350,2610,2200,4513,3600,9000,8050,10001,0.0,4900,6510,4200,1750,270,5450,5325,3400
820,131,415,4450,1680,6800,3225,1265,5020,620,0.0,2150,3210,1799,5075,1460,1235,1600,197,7585,2770,2314,4780,3750,9000,7953,10360,0.0,4850,6589,4250,1750,270,5470,5400,3700
820,130,415,4290,1701,6950,3300,1280,5194,620,0.0,2100,3180,1780,5074,1490,1264,1600,200,7890,2805,2475,4785,3690,9125,7919,10450,0.0,4900,6564,4300,1775,270,5545,5400,3620
830,129,415,4265,1630,7062,3280,1318,4811,620,0.0,2100,3190,1794,5055,1460,1250,1600,200,7700,2750,2600,4810,3750,9450,7948,10350,0.0,4899,6610,4639,1801,275,5558,5400,3600
850,129,414,4100,1679,7150,3248,1269,4700,600,0.0,2100,3140,1741,5072,1449,1250,1600,200,7778,2720,2540,4850,3700,9200,8020,10546,0.0,4899,6760,4589,1850,275,5600,5150,3550
850,129,405,4150,1680,7100,3285,1288,4649,600,0.0,2100,3220,1800,5025,1430,1260,1600,200,7830,2755,2520,4750,3700,9400,8025,10600,0.0,4870,6802,4573,1900,275,5600,5479,3593
860,129,405,4200,1630,7050,3174,1323,4600,610,0.0,2099,3240,1745,5052,1445,1250,1600,198,7810,2720,2400,4815,3690,9300,8000,10550,0.0,4800,6835,4320,1874,275,5550,5371,3602
875,130,405,4199,1640,6897,3038,1325,4665,610,0.0,2099,3220,1785,5195,1420,1218,1600,197,7700,2725,2400,4730,3820,9350,8000,10350,0.0,4750,6999,4365,1850,275,5545,5417,3610
875,129,410,4020,1600,6850,2970,1300,4529,570,0.0,2100,3205,1750,5000,1329,1180,1603,199,7475,2678,2300,4580,3750,9100,7850,10270,0.0,4850,6831,4325,1825,275,5260,5420,3456
870,130,415,3800,1629,6850,2985,1280,4440,600,0.0,2100,3190,1750,5109,1315,1189,1610,200,7400,2638,2231,4510,3725,9050,7520,10020,0.0,4750,6850,4349,1825,275,5370,5375,3416
875,128,415,4168,1625,6850,3060,1295,4617,600,0.0,2100,3180,1772,5050,1345,1200,1640,235,7525,2620,2300,4600,3725,9425,7600,10001,0.0,4800,6700,4292,1830,275,5560,5450,3526
875,130,413,4100,1630,6800,3050,1293,4540,560,0.0,2050,3175,1700,5053,1400,1210,1620,232,7541,2660,2360,4610,3612,9400,7600,10250,0.0,4750,6610,4330,1850,275,5600,5500,3500
877,130,414,4301,1630,6850,3090,1305,5000,600,0.0,2070,3170,1770,5120,1502,1240,1635,250,7725,2719,2290,4685,3855,9701,7600,10400,0.0,4800,6600,4480,1869,275,5955,5450,3510
875,130,410,4445,1690,7000,3085,1325,5095,600,0.0,2065,3205,1770,5145,1510,1250,1665,250,7740,2660,2330,4700,4001,9525,7620,10400,0.0,4850,6600,4396,1900,275,5880,5516,3600
875,129,405,4325,1664,7000,3070,1327,4865,570,0.0,2030,3145,1795,5160,1450,1208,1675,250,7700,2660,2250,4585,3849,9455,7575,10057,0.0,4750,6600,4351,1901,275,5699,5600,3550
875,129,410,4400,1700,6999,3100,1398,4800,610,0.0,2030,3230,1825,5437,1495,1210,1710,232,7800,2659,2200,4625,3850,9500,7595,9815,0.0,4720,6700,4350,1900,275,5800,5738,3600
875,129,410,4300,1700,7048,3100,1360,4899,650,0.0,2075,3262,1800,5235,1580,1230,1715,269,7800,2675,2210,4640,3900,9525,7400,10200,0.0,4550,6650,4350,1900,275,5800,5575,3624
875,129,410,4160,1700,7025,3145,1360,4960,630,0.0,2200,3210,1800,5280,1582,1220,1718,255,7780,2650,2152,4600,3817,9290,7330,10200,0.0,4650,6600,4300,1901,275,5700,5600,3565
875,129,416,4220,1700,7000,3100,1396,5145,640,0.0,2200,3230,1800,5460,1570,1235,1731,255,7701,2680,2176,4620,3860,9320,7399,10330,0.0,4700,6700,4478,1999,273,5720,5700,3609
880,129,415,4201,1740,7049,3120,1415,5000,640,0.0,2225,3399,1750,5563,1550,1237,1765,250,7900,2690,2165,4670,3845,9200,7460,10300,0.0,4700,6640,4510,2000,273,5880,5700,3689
890,130,415,4100,1750,7050,3060,1415,4981,580,0.0,2200,3462,1799,5550,1560,1250,1817,250,7700,2714,2170,4700,3705,9320,7525,10355,0.0,4700,6650,4498,2000,273,6000,5700,3630
900,130,410,4400,1772,7001,3035,1420,5130,620,0.0,2200,3519,1701,5619,1649,1289,1780,260,8045,2820,2209,4990,3967,9561,7502,11045,0.0,4800,6980,4500,1900,273,6150,5705,3861
900,135,405,4499,1750,7000,3080,1405,4982,640,0.0,2200,3530,1700,5560,1590,1270,1800,245,8220,2795,2300,5100,4078,9580,7800,11400,0.0,4900,6950,4740,1901,268,6020,5770,3825
