ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
5928,5000.0,20241,1329,3700.0,29001.0,25210.0,8550.0,1427.0,23624.0,1950.0,2930,2006.0,8470.0,8558.0,2001.0,9525,5850.0,5311,3625.0,5151.0,2577.0,68000,24875,1262.0,10740.0,29069,5905.0,5530.0,13169.0
5805,5050.0,20450,1341,3750.0,29150.0,25175.0,8501.0,1456.0,23185.0,1886.0,2901,1985.0,8225.0,8954.0,1996.0,9570,5825.0,5315,3612.0,5149.0,2650.0,70100,24850,1262.0,10740.0,28000,5954.0,5486.0,13050.0
5650,5050.0,21097,1345,3770.0,30426.0,25270.0,8755.0,1469.0,23235.0,1900.0,2960,1976.0,8202.0,8712.0,2029.0,9551,5775.0,5221,3600.0,5254.0,2639.0,67700,25750,1273.0,10930.0,28305,5880.0,5535.0,13000.0
5534,5000.0,20400,1356,3975.0,30589.0,25460.0,8870.0,1480.0,23584.0,1960.0,2965,1957.0,8320.0,8426.0,2139.0,9247,5698.0,5400,3660.0,5300.0,2655.0,63500,25571,1237.0,10750.0,28699,5925.0,5568.0,13096.0
5625,4900.0,19850,1359,3950.0,29425.0,24523.0,8527.0,1465.0,23136.0,1960.0,2933,1951.0,8076.0,8493.0,2102.0,9045,5581.0,5314,3634.0,5142.0,2610.0,63001,24150,1255.0,10580.0,28025,5855.0,5550.0,12701.0
5530,4830.0,20205,1355,3830.0,29050.0,24825.0,8575.0,1462.0,23594.0,1965.0,2918,1955.0,8201.0,8444.0,2042.0,9400,5589.0,5268,3630.0,5165.0,2615.0,63395,24150,1248.0,10830.0,28655,5760.0,5550.0,12860.0
5750,5000.0,19800,1355,3900.0,28950.0,24750.0,8702.0,1470.0,24183.0,2035.0,2975,1960.0,8200.0,8430.0,2081.0,9223,5535.0,5241,3621.0,5082.0,2612.0,66700,24259,1255.0,10500.0,29189,5849.0,5550.0,12720.0
5851,5200.0,20220,1352,3890.0,29109.0,24350.0,8870.0,1475.0,24419.0,2000.0,2999,1998.0,8338.0,8404.0,2112.0,9170,5659.0,5404,3640.0,5220.0,2633.0,67800,24969,1276.0,10800.0,29650,5830.0,5600.0,12635.0
5950,5575.0,20900,1363,3985.0,29417.0,24345.0,9000.0,1490.0,24585.0,1965.0,3065,2045.0,8371.0,8359.0,2102.0,9375,5861.0,5350,3727.0,5200.0,2750.0,68000,25450,1326.0,10901.0,30619,5882.0,5725.0,12650.0
5900,5325.0,20410,1385,3950.0,29199.0,24300.0,9600.0,1535.0,24684.0,1970.0,3069,2040.0,8650.0,8310.0,2125.0,9750,5755.0,5641,3850.0,5370.0,2780.0,68100,26319,1324.0,11540.0,29956,6010.0,5755.0,12795.0
